,year,month,day,dep_time,sched_dep_time,dep_delay,arr_time,sched_arr_time,arr_delay,carrier,flight,tailnum,origin,dest,air_time,distance,hour,minute,time_hour,Hour,Time
10,2013,2,1,809,810,-1,1043,1042,1,DL,269,N369NB,JFK,ATL,124,760,8,10,2/1/13 8:00,8,M
11,2013,2,1,832,835,-3,1104,1105,-1,MQ,4610,N520MQ,LGA,ATL,122,762,8,35,2/1/13 8:00,8,M
12,2013,2,1,857,859,-2,1131,1145,-14,DL,1747,N646DL,LGA,ATL,120,762,8,59,2/1/13 8:00,8,M
55,2013,2,2,752,800,-8,1015,1039,-24,DL,2047,N672DL,LGA,ATL,110,762,8,0,2/2/13 8:00,8,M
56,2013,2,2,808,810,-2,1026,1044,-18,FL,346,N997AT,LGA,ATL,118,762,8,10,2/2/13 8:00,8,M
57,2013,2,2,828,835,-7,1048,1105,-17,MQ,4610,N500MQ,LGA,ATL,112,762,8,35,2/2/13 8:00,8,M
58,2013,2,2,831,810,21,1055,1041,14,DL,269,N324NB,JFK,ATL,114,760,8,10,2/2/13 8:00,8,M
89,2013,2,3,807,810,-3,1007,1044,-37,FL,346,N966AT,LGA,ATL,105,762,8,10,2/3/13 8:00,8,M
90,2013,2,3,812,810,2,1049,1042,7,DL,269,N336NB,JFK,ATL,110,760,8,10,2/3/13 8:00,8,M
91,2013,2,3,848,835,13,1115,1105,10,MQ,4610,N514MQ,LGA,ATL,113,762,8,35,2/3/13 8:00,8,M
124,2013,2,3,NA,800,NA,NA,1040,NA,DL,2047,N665DN,LGA,ATL,NA,762,8,0,2/3/13 8:00,8,M
134,2013,2,4,815,810,5,1036,1044,-8,FL,346,N964AT,LGA,ATL,120,762,8,10,2/4/13 8:00,8,M
135,2013,2,4,827,810,17,1059,1042,17,DL,269,N338NB,JFK,ATL,121,760,8,10,2/4/13 8:00,8,M
136,2013,2,4,832,835,-3,1115,1105,10,MQ,4610,N506MQ,LGA,ATL,120,762,8,35,2/4/13 8:00,8,M
138,2013,2,4,911,859,12,1139,1145,-6,DL,1747,N688DL,LGA,ATL,118,762,8,59,2/4/13 8:00,8,M
182,2013,2,5,825,810,15,1057,1044,13,FL,346,N942AT,LGA,ATL,112,762,8,10,2/5/13 8:00,8,M
183,2013,2,5,825,835,-10,1113,1105,8,MQ,4610,N532MQ,LGA,ATL,117,762,8,35,2/5/13 8:00,8,M
184,2013,2,5,852,859,-7,1136,1145,-9,DL,1747,N642DL,LGA,ATL,114,762,8,59,2/5/13 8:00,8,M
186,2013,2,5,914,810,64,1139,1042,57,DL,269,N358NB,JFK,ATL,117,760,8,10,2/5/13 8:00,8,M
229,2013,2,6,813,810,3,1020,1044,-24,FL,346,N957AT,LGA,ATL,109,762,8,10,2/6/13 8:00,8,M
230,2013,2,6,825,810,15,1052,1042,10,DL,269,N341NB,JFK,ATL,107,760,8,10,2/6/13 8:00,8,M
231,2013,2,6,852,835,17,1108,1105,3,MQ,4610,N502MQ,LGA,ATL,111,762,8,35,2/6/13 8:00,8,M
233,2013,2,6,904,859,5,1137,1145,-8,DL,1747,N675DL,LGA,ATL,107,762,8,59,2/6/13 8:00,8,M
276,2013,2,7,800,810,-10,1037,1044,-7,FL,346,N991AT,LGA,ATL,127,762,8,10,2/7/13 8:00,8,M
277,2013,2,7,809,810,-1,1046,1042,4,DL,269,N343NB,JFK,ATL,128,760,8,10,2/7/13 8:00,8,M
278,2013,2,7,826,835,-9,1111,1105,6,MQ,4610,N508MQ,LGA,ATL,132,762,8,35,2/7/13 8:00,8,M
280,2013,2,7,900,859,1,1146,1145,1,DL,1747,N645DL,LGA,ATL,125,762,8,59,2/7/13 8:00,8,M
323,2013,2,8,828,810,18,1108,1044,24,FL,346,N919AT,LGA,ATL,111,762,8,10,2/8/13 8:00,8,M
324,2013,2,8,830,810,20,1121,1042,39,DL,269,N346NB,JFK,ATL,119,760,8,10,2/8/13 8:00,8,M
325,2013,2,8,835,835,0,1111,1105,6,MQ,4610,N534MQ,LGA,ATL,112,762,8,35,2/8/13 8:00,8,M
327,2013,2,8,858,859,-1,1154,1145,9,DL,1747,N690DL,LGA,ATL,112,762,8,59,2/8/13 8:00,8,M
382,2013,2,9,NA,800,NA,NA,1039,NA,DL,2047,N678DL,LGA,ATL,NA,762,8,0,2/9/13 8:00,8,M
387,2013,2,9,NA,810,NA,NA,1044,NA,FL,346,N989AT,LGA,ATL,NA,762,8,10,2/9/13 8:00,8,M
390,2013,2,9,NA,810,NA,NA,1041,NA,DL,269,N359NB,JFK,ATL,NA,760,8,10,2/9/13 8:00,8,M
397,2013,2,9,NA,835,NA,NA,1105,NA,MQ,4610,N518MQ,LGA,ATL,NA,762,8,35,2/9/13 8:00,8,M
403,2013,2,10,755,800,-5,1019,1040,-21,DL,2047,N676DL,LGA,ATL,114,762,8,0,2/10/13 8:00,8,M
404,2013,2,10,805,810,-5,1033,1044,-11,FL,346,N921AT,LGA,ATL,114,762,8,10,2/10/13 8:00,8,M
405,2013,2,10,809,810,-1,1037,1042,-5,DL,269,N302NB,JFK,ATL,111,760,8,10,2/10/13 8:00,8,M
406,2013,2,10,828,835,-7,1047,1105,-18,MQ,4610,N534MQ,LGA,ATL,113,762,8,35,2/10/13 8:00,8,M
449,2013,2,11,808,810,-2,1049,1042,7,DL,269,N357NB,JFK,ATL,126,760,8,10,2/11/13 8:00,8,M
450,2013,2,11,819,810,9,1110,1044,26,FL,346,N607AT,LGA,ATL,130,762,8,10,2/11/13 8:00,8,M
451,2013,2,11,835,835,0,1115,1105,10,MQ,4610,N501MQ,LGA,ATL,125,762,8,35,2/11/13 8:00,8,M
452,2013,2,11,856,859,-3,1158,1145,13,DL,1747,N633DL,LGA,ATL,121,762,8,59,2/11/13 8:00,8,M
497,2013,2,12,805,810,-5,1037,1042,-5,DL,269,N316NB,JFK,ATL,120,760,8,10,2/12/13 8:00,8,M
498,2013,2,12,806,810,-4,1041,1044,-3,FL,346,N969AT,LGA,ATL,123,762,8,10,2/12/13 8:00,8,M
499,2013,2,12,830,835,-5,1109,1105,4,MQ,4610,N516MQ,LGA,ATL,123,762,8,35,2/12/13 8:00,8,M
500,2013,2,12,857,859,-2,1146,1145,1,DL,1747,N661DN,LGA,ATL,122,762,8,59,2/12/13 8:00,8,M
544,2013,2,13,808,810,-2,1052,1042,10,DL,269,N353NB,JFK,ATL,131,760,8,10,2/13/13 8:00,8,M
545,2013,2,13,821,810,11,1107,1044,23,FL,346,N989AT,LGA,ATL,137,762,8,10,2/13/13 8:00,8,M
546,2013,2,13,830,835,-5,1124,1105,19,MQ,4610,N500MQ,LGA,ATL,140,762,8,35,2/13/13 8:00,8,M
548,2013,2,13,858,859,-1,1155,1145,10,DL,1747,N633DL,LGA,ATL,130,762,8,59,2/13/13 8:00,8,M
591,2013,2,14,808,810,-2,1028,1043,-15,FL,361,N938AT,LGA,ATL,118,762,8,10,2/14/13 8:00,8,M
592,2013,2,14,811,810,1,1038,1042,-4,DL,269,N315US,JFK,ATL,116,760,8,10,2/14/13 8:00,8,M
595,2013,2,14,928,835,53,1156,1105,51,MQ,4610,N526MQ,LGA,ATL,115,762,8,35,2/14/13 8:00,8,M
596,2013,2,14,947,859,48,1232,1145,47,DL,1747,N604DL,LGA,ATL,118,762,8,59,2/14/13 8:00,8,M
640,2013,2,15,803,805,-2,1030,1038,-8,DL,269,N325US,JFK,ATL,118,760,8,5,2/15/13 8:00,8,M
641,2013,2,15,813,810,3,1039,1043,-4,FL,361,N993AT,LGA,ATL,121,762,8,10,2/15/13 8:00,8,M
642,2013,2,15,832,835,-3,1057,1105,-8,MQ,4610,N512MQ,LGA,ATL,116,762,8,35,2/15/13 8:00,8,M
644,2013,2,15,901,859,2,1139,1145,-6,DL,1747,N636DL,LGA,ATL,115,762,8,59,2/15/13 8:00,8,M
686,2013,2,16,807,810,-3,1044,1044,0,DL,269,N902DE,JFK,ATL,124,760,8,10,2/16/13 8:00,8,M
687,2013,2,16,830,835,-5,1105,1105,0,MQ,4610,N525MQ,LGA,ATL,129,762,8,35,2/16/13 8:00,8,M
689,2013,2,16,839,810,29,1113,1043,30,FL,361,N985AT,LGA,ATL,129,762,8,10,2/16/13 8:00,8,M
690,2013,2,16,856,859,-3,1124,1145,-21,DL,1747,N690DL,LGA,ATL,122,762,8,59,2/16/13 8:00,8,M
720,2013,2,17,800,800,0,1014,1040,-26,DL,2047,N667DN,LGA,ATL,105,762,8,0,2/17/13 8:00,8,M
721,2013,2,17,809,810,-1,1024,1042,-18,DL,269,N302NB,JFK,ATL,104,760,8,10,2/17/13 8:00,8,M
722,2013,2,17,830,835,-5,1046,1105,-19,MQ,4610,N511MQ,LGA,ATL,107,762,8,35,2/17/13 8:00,8,M
759,2013,2,18,811,810,1,1023,1042,-19,DL,269,N320NB,JFK,ATL,109,760,8,10,2/18/13 8:00,8,M
760,2013,2,18,821,810,11,1050,1043,7,FL,361,N981AT,LGA,ATL,112,762,8,10,2/18/13 8:00,8,M
762,2013,2,18,832,835,-3,1057,1105,-8,MQ,4610,N525MQ,LGA,ATL,111,762,8,35,2/18/13 8:00,8,M
763,2013,2,18,854,859,-5,1124,1145,-21,DL,1747,N616DL,LGA,ATL,113,762,8,59,2/18/13 8:00,8,M
810,2013,2,19,805,805,0,1038,1038,0,DL,269,N689DL,JFK,ATL,117,760,8,5,2/19/13 8:00,8,M
811,2013,2,19,811,810,1,1039,1043,-4,FL,361,N986AT,LGA,ATL,124,762,8,10,2/19/13 8:00,8,M
812,2013,2,19,830,835,-5,1111,1105,6,MQ,4610,N514MQ,LGA,ATL,118,762,8,35,2/19/13 8:00,8,M
813,2013,2,19,852,859,-7,1142,1145,-3,DL,1747,N650DL,LGA,ATL,121,762,8,59,2/19/13 8:00,8,M
858,2013,2,20,801,810,-9,1024,1043,-19,FL,361,N926AT,LGA,ATL,112,762,8,10,2/20/13 8:00,8,M
859,2013,2,20,810,810,0,1036,1042,-6,DL,269,N338NB,JFK,ATL,113,760,8,10,2/20/13 8:00,8,M
860,2013,2,20,830,835,-5,1051,1105,-14,MQ,4610,N518MQ,LGA,ATL,112,762,8,35,2/20/13 8:00,8,M
861,2013,2,20,852,859,-7,1130,1145,-15,DL,1747,N667DN,LGA,ATL,114,762,8,59,2/20/13 8:00,8,M
906,2013,2,21,813,810,3,1047,1042,5,DL,269,N334NB,JFK,ATL,119,760,8,10,2/21/13 8:00,8,M
907,2013,2,21,817,810,7,1055,1043,12,FL,361,N938AT,LGA,ATL,125,762,8,10,2/21/13 8:00,8,M
908,2013,2,21,835,835,0,1121,1105,16,MQ,4610,N526MQ,LGA,ATL,121,762,8,35,2/21/13 8:00,8,M
909,2013,2,21,852,859,-7,1149,1145,4,DL,1747,N661DN,LGA,ATL,120,762,8,59,2/21/13 8:00,8,M
955,2013,2,22,804,810,-6,1042,1043,-1,FL,361,N932AT,LGA,ATL,131,762,8,10,2/22/13 8:00,8,M
956,2013,2,22,808,810,-2,1113,1042,31,DL,269,N369NB,JFK,ATL,129,760,8,10,2/22/13 8:00,8,M
957,2013,2,22,826,835,-9,1107,1105,2,MQ,4610,N526MQ,LGA,ATL,132,762,8,35,2/22/13 8:00,8,M
959,2013,2,22,857,859,-2,1201,1145,16,DL,1747,N679DA,LGA,ATL,127,762,8,59,2/22/13 8:00,8,M
1000,2013,2,23,757,810,-13,1054,1044,10,DL,269,N934DL,JFK,ATL,135,760,8,10,2/23/13 8:00,8,M
1002,2013,2,23,809,810,-1,1059,1043,16,FL,361,N994AT,LGA,ATL,135,762,8,10,2/23/13 8:00,8,M
1003,2013,2,23,833,835,-2,1114,1105,9,MQ,4610,N532MQ,LGA,ATL,138,762,8,35,2/23/13 8:00,8,M
1004,2013,2,23,856,859,-3,1151,1145,6,DL,1747,N636DL,LGA,ATL,141,762,8,59,2/23/13 8:00,8,M
1035,2013,2,24,828,835,-7,1047,1105,-18,MQ,4610,N534MQ,LGA,ATL,115,762,8,35,2/24/13 8:00,8,M
1036,2013,2,24,831,810,21,1043,1042,1,DL,269,N324NB,JFK,ATL,115,760,8,10,2/24/13 8:00,8,M
1037,2013,2,24,853,859,-6,1118,1145,-27,DL,1747,N664DN,LGA,ATL,106,762,8,59,2/24/13 8:00,8,M
1082,2013,2,25,806,810,-4,1030,1042,-12,DL,269,N301NB,JFK,ATL,122,760,8,10,2/25/13 8:00,8,M
1083,2013,2,25,810,810,0,1045,1043,2,FL,361,N943AT,LGA,ATL,128,762,8,10,2/25/13 8:00,8,M
1084,2013,2,25,827,835,-8,1106,1105,1,MQ,4610,N525MQ,LGA,ATL,135,762,8,35,2/25/13 8:00,8,M
1085,2013,2,25,853,859,-6,1143,1145,-2,DL,1747,N662DN,LGA,ATL,124,762,8,59,2/25/13 8:00,8,M
1132,2013,2,26,756,810,-14,1041,1043,-2,FL,361,N717JL,LGA,ATL,142,762,8,10,2/26/13 8:00,8,M
1133,2013,2,26,805,810,-5,1114,1043,31,DL,269,N672DL,JFK,ATL,141,760,8,10,2/26/13 8:00,8,M
1134,2013,2,26,829,835,-6,1116,1105,11,MQ,4610,N523MQ,LGA,ATL,127,762,8,35,2/26/13 8:00,8,M
1135,2013,2,26,854,859,-5,1153,1145,8,DL,1747,N687DL,LGA,ATL,122,762,8,59,2/26/13 8:00,8,M
1180,2013,2,27,807,810,-3,1101,1042,19,DL,269,N320NB,JFK,ATL,119,760,8,10,2/27/13 8:00,8,M
1181,2013,2,27,830,835,-5,1117,1105,12,MQ,4610,N6EAMQ,LGA,ATL,119,762,8,35,2/27/13 8:00,8,M
1182,2013,2,27,850,810,40,1138,1043,55,FL,361,N603AT,LGA,ATL,124,762,8,10,2/27/13 8:00,8,M
1183,2013,2,27,855,859,-4,1149,1145,4,DL,1747,N676DL,LGA,ATL,123,762,8,59,2/27/13 8:00,8,M
1227,2013,2,28,817,810,7,1035,1043,-8,FL,361,N717JL,LGA,ATL,114,762,8,10,2/28/13 8:00,8,M
1228,2013,2,28,831,835,-4,1044,1105,-21,MQ,4610,N507MQ,LGA,ATL,114,762,8,35,2/28/13 8:00,8,M
1229,2013,2,28,854,810,44,1110,1042,28,DL,269,N6701,JFK,ATL,111,760,8,10,2/28/13 8:00,8,M
1231,2013,2,28,859,859,0,1130,1145,-15,DL,1747,N674DL,LGA,ATL,115,762,8,59,2/28/13 8:00,8,M
13,2013,2,1,859,900,-1,1123,1135,-12,DL,485,N302DQ,EWR,ATL,120,746,9,0,2/1/13 9:00,9,M
14,2013,2,1,946,943,3,1206,1220,-14,EV,4140,N11181,EWR,ATL,123,746,9,43,2/1/13 9:00,9,M
19,2013,2,1,1051,955,56,1335,1220,75,MQ,4654,N507MQ,LGA,ATL,123,762,9,55,2/1/13 9:00,9,M
59,2013,2,2,855,900,-5,1121,1146,-25,DL,1747,N664DN,LGA,ATL,114,762,9,0,2/2/13 9:00,9,M
60,2013,2,2,929,900,29,1144,1137,7,EV,3261,N11199,EWR,ATL,113,746,9,0,2/2/13 9:00,9,M
66,2013,2,2,1252,900,232,1511,1135,216,DL,485,N303DQ,EWR,ATL,114,746,9,0,2/2/13 9:00,9,M
92,2013,2,3,904,900,4,1139,1146,-7,DL,1747,N555NW,LGA,ATL,110,762,9,0,2/3/13 9:00,9,M
93,2013,2,3,1008,955,13,1219,1220,-1,MQ,4654,N9EAMQ,LGA,ATL,111,762,9,55,2/3/13 9:00,9,M
123,2013,2,3,NA,910,NA,NA,1147,NA,EV,4140,N26545,EWR,ATL,NA,746,9,10,2/3/13 9:00,9,M
137,2013,2,4,857,900,-3,1122,1135,-13,DL,485,N309DE,EWR,ATL,118,746,9,0,2/4/13 9:00,9,M
139,2013,2,4,921,929,-8,1155,1206,-11,EV,4140,N13969,EWR,ATL,126,746,9,29,2/4/13 9:00,9,M
140,2013,2,4,949,955,-6,1316,1220,56,MQ,4654,N522MQ,LGA,ATL,121,762,9,55,2/4/13 9:00,9,M
185,2013,2,5,857,900,-3,1130,1135,-5,DL,485,N305DQ,EWR,ATL,112,746,9,0,2/5/13 9:00,9,M
187,2013,2,5,951,951,0,1227,1228,-1,EV,4156,N13913,EWR,ATL,124,746,9,51,2/5/13 9:00,9,M
188,2013,2,5,952,955,-3,1247,1220,27,MQ,4654,N512MQ,LGA,ATL,124,762,9,55,2/5/13 9:00,9,M
232,2013,2,6,856,900,-4,1134,1135,-1,DL,485,N304DQ,EWR,ATL,108,746,9,0,2/6/13 9:00,9,M
235,2013,2,6,955,955,0,1211,1220,-9,MQ,4654,N525MQ,LGA,ATL,106,762,9,55,2/6/13 9:00,9,M
236,2013,2,6,958,943,15,1214,1220,-6,EV,4140,N19966,EWR,ATL,110,746,9,43,2/6/13 9:00,9,M
279,2013,2,7,857,900,-3,1134,1135,-1,DL,485,N306DQ,EWR,ATL,123,746,9,0,2/7/13 9:00,9,M
281,2013,2,7,949,955,-6,1230,1220,10,MQ,4654,N500MQ,LGA,ATL,127,762,9,55,2/7/13 9:00,9,M
282,2013,2,7,958,929,29,1239,1206,33,EV,4140,N12921,EWR,ATL,137,746,9,29,2/7/13 9:00,9,M
326,2013,2,8,857,900,-3,1141,1135,6,DL,485,N308DE,EWR,ATL,112,746,9,0,2/8/13 9:00,9,M
329,2013,2,8,1005,943,22,1241,1220,21,EV,4140,N48901,EWR,ATL,115,746,9,43,2/8/13 9:00,9,M
332,2013,2,8,1037,955,42,1303,1220,43,MQ,4654,N508MQ,LGA,ATL,114,762,9,55,2/8/13 9:00,9,M
380,2013,2,9,NA,900,NA,NA,1146,NA,DL,1747,N671DN,LGA,ATL,NA,762,9,0,2/9/13 9:00,9,M
383,2013,2,9,NA,900,NA,NA,1137,NA,EV,3261,N13992,EWR,ATL,NA,746,9,0,2/9/13 9:00,9,M
392,2013,2,9,NA,900,NA,NA,1135,NA,DL,485,N307DQ,EWR,ATL,NA,746,9,0,2/9/13 9:00,9,M
407,2013,2,10,854,900,-6,1120,1146,-26,DL,1747,N671DN,LGA,ATL,113,762,9,0,2/10/13 9:00,9,M
408,2013,2,10,903,910,-7,1139,1147,-8,EV,4140,N18556,EWR,ATL,115,746,9,10,2/10/13 9:00,9,M
409,2013,2,10,952,955,-3,1159,1220,-21,MQ,4654,N514MQ,LGA,ATL,111,762,9,55,2/10/13 9:00,9,M
453,2013,2,11,858,900,-2,1146,1135,11,DL,485,N306DQ,EWR,ATL,122,746,9,0,2/11/13 9:00,9,M
454,2013,2,11,927,929,-2,1225,1206,19,EV,4140,N15574,EWR,ATL,133,746,9,29,2/11/13 9:00,9,M
455,2013,2,11,953,955,-2,1236,1220,16,MQ,4654,N537MQ,LGA,ATL,126,762,9,55,2/11/13 9:00,9,M
501,2013,2,12,859,900,-1,1136,1135,1,DL,485,N309DE,EWR,ATL,121,746,9,0,2/12/13 9:00,9,M
503,2013,2,12,1003,951,12,1236,1228,8,EV,4156,N11164,EWR,ATL,126,746,9,51,2/12/13 9:00,9,M
507,2013,2,12,1109,955,74,1332,1220,72,MQ,4654,N534MQ,LGA,ATL,118,762,9,55,2/12/13 9:00,9,M
547,2013,2,13,855,900,-5,1144,1135,9,DL,485,N301DQ,EWR,ATL,132,746,9,0,2/13/13 9:00,9,M
549,2013,2,13,942,943,-1,1232,1220,12,EV,4140,N13965,EWR,ATL,135,746,9,43,2/13/13 9:00,9,M
550,2013,2,13,955,955,0,1236,1220,16,MQ,4654,N517MQ,LGA,ATL,135,762,9,55,2/13/13 9:00,9,M
593,2013,2,14,859,900,-1,1132,1135,-3,DL,485,N302DQ,EWR,ATL,115,746,9,0,2/14/13 9:00,9,M
594,2013,2,14,923,929,-6,1211,1206,5,EV,4140,N12921,EWR,ATL,126,746,9,29,2/14/13 9:00,9,M
599,2013,2,14,1008,955,13,1249,1220,29,MQ,4654,N516MQ,LGA,ATL,122,762,9,55,2/14/13 9:00,9,M
643,2013,2,15,859,900,-1,1121,1135,-14,DL,485,N309DE,EWR,ATL,122,746,9,0,2/15/13 9:00,9,M
645,2013,2,15,924,929,-5,1145,1206,-21,EV,4140,N12957,EWR,ATL,124,746,9,29,2/15/13 9:00,9,M
646,2013,2,15,950,955,-5,1221,1220,1,MQ,4654,N502MQ,LGA,ATL,124,762,9,55,2/15/13 9:00,9,M
691,2013,2,16,859,900,-1,1119,1135,-16,DL,485,N308DE,EWR,ATL,117,746,9,0,2/16/13 9:00,9,M
723,2013,2,17,853,900,-7,1055,1133,-38,DL,485,N358NB,EWR,ATL,106,746,9,0,2/17/13 9:00,9,M
724,2013,2,17,924,929,-5,1137,1206,-29,EV,4140,N18557,EWR,ATL,109,746,9,29,2/17/13 9:00,9,M
725,2013,2,17,954,955,-1,1223,1220,3,MQ,4654,N530MQ,LGA,ATL,109,762,9,55,2/17/13 9:00,9,M
764,2013,2,18,859,900,-1,1107,1135,-28,DL,485,N302DQ,EWR,ATL,110,746,9,0,2/18/13 9:00,9,M
765,2013,2,18,950,955,-5,1216,1220,-4,MQ,4654,N526MQ,LGA,ATL,115,762,9,55,2/18/13 9:00,9,M
800,2013,2,18,NA,929,NA,NA,1206,NA,EV,4140,N16541,EWR,ATL,NA,746,9,29,2/18/13 9:00,9,M
814,2013,2,19,858,900,-2,1118,1135,-17,DL,485,N305DQ,EWR,ATL,116,746,9,0,2/19/13 9:00,9,M
815,2013,2,19,931,929,2,1200,1206,-6,EV,4140,N14173,EWR,ATL,124,746,9,29,2/19/13 9:00,9,M
816,2013,2,19,951,955,-4,1226,1220,6,MQ,4654,N509MQ,LGA,ATL,127,762,9,55,2/19/13 9:00,9,M
862,2013,2,20,858,900,-2,1122,1135,-13,DL,485,N304DQ,EWR,ATL,115,746,9,0,2/20/13 9:00,9,M
863,2013,2,20,921,929,-8,1148,1206,-18,EV,4140,N14186,EWR,ATL,117,746,9,29,2/20/13 9:00,9,M
864,2013,2,20,951,955,-4,1221,1220,1,MQ,4654,N509MQ,LGA,ATL,124,762,9,55,2/20/13 9:00,9,M
910,2013,2,21,859,900,-1,1128,1135,-7,DL,485,N306DQ,EWR,ATL,123,746,9,0,2/21/13 9:00,9,M
911,2013,2,21,953,955,-2,1232,1220,12,MQ,4654,N518MQ,LGA,ATL,116,762,9,55,2/21/13 9:00,9,M
915,2013,2,21,1046,929,77,1301,1206,55,EV,4140,N16183,EWR,ATL,120,746,9,29,2/21/13 9:00,9,M
958,2013,2,22,856,900,-4,1133,1135,-2,DL,485,N301DQ,EWR,ATL,122,746,9,0,2/22/13 9:00,9,M
960,2013,2,22,936,929,7,1225,1206,19,EV,4140,N29906,EWR,ATL,134,746,9,29,2/22/13 9:00,9,M
961,2013,2,22,947,955,-8,1242,1220,22,MQ,4654,N534MQ,LGA,ATL,128,762,9,55,2/22/13 9:00,9,M
1005,2013,2,23,857,900,-3,1141,1135,6,DL,485,N303DQ,EWR,ATL,133,746,9,0,2/23/13 9:00,9,M
1038,2013,2,24,919,900,19,1141,1133,8,DL,485,N361NB,EWR,ATL,116,746,9,0,2/24/13 9:00,9,M
1039,2013,2,24,922,929,-7,1137,1206,-29,EV,4140,N15574,EWR,ATL,115,746,9,29,2/24/13 9:00,9,M
1040,2013,2,24,950,955,-5,1212,1220,-8,MQ,4654,N504MQ,LGA,ATL,117,762,9,55,2/24/13 9:00,9,M
1086,2013,2,25,858,900,-2,1126,1135,-9,DL,485,N305DQ,EWR,ATL,119,746,9,0,2/25/13 9:00,9,M
1087,2013,2,25,930,929,1,1206,1206,0,EV,4140,N12175,EWR,ATL,130,746,9,29,2/25/13 9:00,9,M
1089,2013,2,25,956,955,1,1254,1220,34,MQ,4654,N531MQ,LGA,ATL,130,762,9,55,2/25/13 9:00,9,M
1136,2013,2,26,857,900,-3,1136,1135,1,DL,485,N308DE,EWR,ATL,130,746,9,0,2/26/13 9:00,9,M
1137,2013,2,26,924,929,-5,1217,1206,11,EV,4140,N13538,EWR,ATL,137,746,9,29,2/26/13 9:00,9,M
1138,2013,2,26,946,955,-9,1246,1220,26,MQ,4654,N525MQ,LGA,ATL,137,762,9,55,2/26/13 9:00,9,M
1184,2013,2,27,900,900,0,1153,1135,18,DL,485,N303DQ,EWR,ATL,118,746,9,0,2/27/13 9:00,9,M
1185,2013,2,27,951,955,-4,1234,1220,14,MQ,4654,N523MQ,LGA,ATL,124,762,9,55,2/27/13 9:00,9,M
1190,2013,2,27,1056,929,87,1346,1206,100,EV,4140,N13964,EWR,ATL,126,746,9,29,2/27/13 9:00,9,M
1230,2013,2,28,859,900,-1,1120,1135,-15,DL,485,N304DQ,EWR,ATL,115,746,9,0,2/28/13 9:00,9,M
1233,2013,2,28,952,955,-3,1212,1220,-8,MQ,4654,N6EAMQ,LGA,ATL,111,762,9,55,2/28/13 9:00,9,M
1235,2013,2,28,1021,929,52,1238,1206,32,EV,4140,N22909,EWR,ATL,119,746,9,29,2/28/13 9:00,9,M
15,2013,2,1,956,1000,-4,1234,1233,1,DL,815,N3738B,JFK,ATL,120,760,10,0,2/1/13 10:00,10,M
16,2013,2,1,958,1000,-2,1226,1239,-13,DL,1847,N680DA,LGA,ATL,118,762,10,0,2/1/13 10:00,10,M
17,2013,2,1,1021,1023,-2,1255,1255,0,FL,347,N893AT,LGA,ATL,128,762,10,23,2/1/13 10:00,10,M
18,2013,2,1,1026,1030,-4,1257,1252,5,DL,2343,N640DL,EWR,ATL,117,746,10,30,2/1/13 10:00,10,M
61,2013,2,2,955,1000,-5,1208,1239,-31,DL,1847,N646DL,LGA,ATL,113,762,10,0,2/2/13 10:00,10,M
94,2013,2,3,1036,1030,6,1245,1252,-7,DL,2343,N357NB,EWR,ATL,107,746,10,30,2/3/13 10:00,10,M
95,2013,2,3,1059,1000,59,1311,1239,32,DL,1847,N637DL,LGA,ATL,106,762,10,0,2/3/13 10:00,10,M
141,2013,2,4,950,1000,-10,1217,1239,-22,DL,1847,N660DL,LGA,ATL,121,762,10,0,2/4/13 10:00,10,M
142,2013,2,4,1020,1023,-3,1249,1255,-6,FL,347,N935AT,LGA,ATL,123,762,10,23,2/4/13 10:00,10,M
143,2013,2,4,1027,1030,-3,1249,1254,-5,DL,2343,N3744F,EWR,ATL,119,746,10,30,2/4/13 10:00,10,M
189,2013,2,5,1018,1023,-5,1252,1255,-3,FL,347,N965AT,LGA,ATL,126,762,10,23,2/5/13 10:00,10,M
190,2013,2,5,1020,1000,20,1256,1239,17,DL,1847,N614DL,LGA,ATL,115,762,10,0,2/5/13 10:00,10,M
191,2013,2,5,1027,1030,-3,1242,1252,-10,DL,2343,N324NB,EWR,ATL,116,746,10,30,2/5/13 10:00,10,M
234,2013,2,6,952,1000,-8,1223,1239,-16,DL,1847,N666DN,LGA,ATL,109,762,10,0,2/6/13 10:00,10,M
237,2013,2,6,1027,1030,-3,1240,1252,-12,DL,2343,N357NB,EWR,ATL,106,746,10,30,2/6/13 10:00,10,M
238,2013,2,6,1044,1023,21,1257,1255,2,FL,347,N938AT,LGA,ATL,109,762,10,23,2/6/13 10:00,10,M
283,2013,2,7,958,1000,-2,1244,1239,5,DL,1847,N618DL,LGA,ATL,129,762,10,0,2/7/13 10:00,10,M
284,2013,2,7,1012,1023,-11,1306,1255,11,FL,347,N968AT,LGA,ATL,132,762,10,23,2/7/13 10:00,10,M
285,2013,2,7,1025,1030,-5,1256,1252,4,DL,2343,N342NB,EWR,ATL,130,746,10,30,2/7/13 10:00,10,M
328,2013,2,8,959,1000,-1,1301,1239,22,DL,1847,N652DL,LGA,ATL,119,762,10,0,2/8/13 10:00,10,M
330,2013,2,8,1024,1030,-6,1249,1252,-3,EV,5395,N748EV,EWR,ATL,117,746,10,30,2/8/13 10:00,10,M
331,2013,2,8,1024,1023,1,1300,1255,5,FL,347,N995AT,LGA,ATL,115,762,10,23,2/8/13 10:00,10,M
